%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
「勿論、彼は夢の世界に居るし適当にふら付いているわよ」	「当然，他住在梦的世界里，所以我适当地对付了」
「もしかしたら貴方の夢にも今宵…ねぇ？」	「也许今晚你的梦里也会有…呐？」
「今更だけど、春夢と吉夢について軽くお教えしましょう」	「事到如今，我来简单地告诉你春梦和吉梦吧」
「春夢は春の夜の夢。また、人生の儚さの喩えで…」	「春梦是春夜的梦。又是人生虚幻的比喻…」
「一方、吉夢で縁起のよい夢です。 同じ意味では瑞夢、反対語は凶夢です」	「另一方面，这是个吉梦，是个吉利的梦。同样的意思是瑞梦，反义词是凶梦」
「昨日の宴会では多数の酔夢が見れましたねぇ」	「昨天的宴会上做了很多醉梦呢」
「…酔夢とは酔って眠っている間に見る夢の事で、私から見れば多種多様の面白い夢が見れる機会なのよ」	「…醉梦是指醉睡期间做的梦，在我看来是能做各种各样有趣的梦的机会」
「えぇ実は皆さんの酔夢を肴にお酒を飲んでいましたよ…私」	「哎，其实我是把大家的醉梦当作下酒菜的…」
「そういえば人里で夢相をされている方がいましたね」	「这么说来，有人在村庄里做了一个看梦相的摊子呢」
「夢の吉凶を見る人ですが、専門家の私からすればまだまだ青二才でしたよ」	「虽然是会看梦的吉凶的人，但在我这个专家看来还是个小毛孩子」
「しかし何というか親近感とも言えるものを感じましたが…」	「但是总觉得有种亲切感…」
「いっそ弟子にしてみても面白いかも…？」	「干脆收为弟子看看也挺有趣的…？」
「夢遊病ってご存知ですか？」	「你知道梦梦游病吗？」
「えぇ、寝ながら動いてしまうアレです」	「嗯，是一边睡一边动的那个」
「実は奇妙な話なのですが…夢遊病患者の夢は食べれないのよ」	「其实是很奇怪的事情…不能吃梦游病患者的梦哦」
「なんというか…鍵が掛かっているような感じ」	「怎么说呢…有种被上了锁的感觉」
「夢の支配者から逃れる夢遊病、面白いと思いませんか？」	「你不觉得从梦的支配者手上逃离的梦游病很有趣吗？」
「おやおや人を殺す夢を見た…ですか」	「我做了一个杀人的梦…是吗」
「ところがどっこい。それは吉夢ですよ、安心してください」	「恰恰相反。那是个好梦，请放心」
「基本的に死の夢というのは新しいものの訪れなんかを表しているので…」	「基本上死亡的梦代表着新事物的到来…」
「サナギがぱかっと割れて蝶がでてきたみたいな目でみるといいでしょう」	「用蛹裂开后蝴蝶扑哧扑哧地飞出来一样」
「ところで誰を殺したのです？」	「话说你杀了谁？」
「そういえば%ANAME(MASTER)%ったら昨日、目を開けたまま寝てたわよ」	「这么说来，说到%ANAME(MASTER)%，昨天睁着眼睛就睡了」
「夢を見ているから寝ている事は分かってたけど、見られているような気がして気になっちゃったわ」	「虽然知道是因为做梦才睡的，但是感觉好像被看到了一样，很在意啊」
「…別に目を開けたまま寝てるから何かあるってワケないわよ、ただのまぶたの筋力が衰えているだけ」	「…并不是发生了什么事才睁着眼睛睡觉，只是眼皮的肌肉力量在衰退而已」
「さっき%ANAME(MASTER)%の枕の下から本が出て来たけど…」	「刚才从%ANAME(MASTER)%的枕头下拿出了书…」
「あぁー…やっぱりねぇ…、言っておくけど枕の下に本を置いてもその夢を見る事は無いわよ」	「啊…果然啊…我告诉你，即使把书放在枕头下面也不会做梦的」
「…まぁでも意識していたら夢に出てき易くはなると思うけど……たぶん」	「…嘛，但是如果有意识的话，我觉得很容易在梦里出现……大概」
「少し昔に、対象を眠らせる能力に憧れて催眠術を齧ったことがありまして」	「在很久以前，我曾因为憧憬让对象睡觉的能力而学过催眠术」
「まぁ……そういう術じゃないと気付いた時点でやめましたけどね」	「嘛……当我意识到这不是我的方法时，我就放弃了。」
「でも私の声、催眠術師向けだと思うんですよね。　どうです？　ほらほら」	「但是我的声音是像催眠师学的。怎么样？瞧」
「夢を食べる時はね、誰にも邪魔されず…何にも干渉されずに自由でなんというか…」	「吃梦的时候，不会被任何人打扰…不受任何干涉的自由，怎么说呢…」
「自然的でなきゃダメなんですよ…独りで静かで豊かで…」	「必须是自然的哦…一个人安静富裕…」
「(たまには何も言わず寄り添うのも良いですね)」	「（偶尔什么都不说互相依偎也不错）」
「今日は良い天気ですねぇ」	「今天天气真好啊」
「こんな日は面倒なお仕事を忘れてお昼寝したりデートしたり…したいですねぇ」	「这样的日子忘记了麻烦的工作，睡午觉约会什么的…想做呢」
「…今、変な事考えてたでしょ貴方」	「…你刚才在想奇怪的事情吧」
「まぁ良いでしょう、添い寝くらいならしてあげますよ」	「算了，我陪你睡吧」
「おや風邪ですか？」	「哎呀，是感冒了吗？」
「いけませんねぇ、今お布団を用意しますのでしばしお待ちを…」	「不行啊，现在准备被子，请稍等一下…」
「えっ、私を抱き枕にして寝たいですって？」	「诶，你说想把我当枕头睡？」
「馬鹿言ってないで大人しく寝てください、隣で看病してあげますから…」	「别傻了，老老实实地睡吧，我在你身边照顾你…」
「お帰りなさい、%ANAME(MASTER)%」	「欢迎回来，%ANAME(MASTER)%」
「お風呂にします？ご飯にします？それとも現世？」	「洗澡吗？吃饭吗？还是现世？」
「はいはい、そういう事で起きてください。 いつまでも夢の中でゆっくりしないでください」	「是的是的，就是这样起床吧。请不要总是在梦里呆着」
「おやおや、気付いてないのですか？ これは夢ですよ。」	「哎呀哎呀，你没注意到吗？这是梦。」
「夢の続きは現世で見せてあげますから、起きてくださいねー」	「梦的延续会在现世呈现，请起来吧」
「おはようございます、%ANAME(MASTER)%」	「早上好，%ANAME(MASTER)%」
「朝食の準備が整っておりますよ。昨日洋食だったので、本日は和食にしました」	「早餐准备好了。因为昨天吃了西餐，所以今天吃了日本料理」
「炊きたての白米、ナメコのお味噌汁、焼き鮭に沢庵、ほうれん草のお浸しなど。私の愛情込めて…作ったわけないでしょ」	「刚煮好的白米、朴蕈的味增汤、烤鲑鱼、腌萝卜、菠菜等。怀着我的爱…不可能做的吧」
「いつまでも夢見てないでさっさと起きなさい」	「别老做梦了，快起来吧」
「朝食の準備が整っておりますよ。昨日和食だったので、本日は洋食にしました」	「早餐准备好了。因为昨天是和食，所以今天吃了西餐」
「焼きたてのパン、半熟とろとろ目玉焼き、たこさんウィンナーなど。私の愛情込めて…作ったわけないでしょ」	「刚烤好的面包、半熟的荷包蛋、章鱼香肠等。怀着我的爱…不可能做的吧」
「炊きたての五目米、豆腐のお味噌汁、焼き鮭に沢庵、玉子焼きなど。私の愛情込めて…作ったわけないでしょ」	「刚煮好的什锦米、豆腐味增汤、烤鲑鱼、泽庵、煎鸡蛋等。怀着我的爱…不可能做的吧」
